model,specs,qty,screen_inches,price_egp,camera
ZBOOK FIRE FLY 16 G9,I7 1280P - 16 - 512- INTEL,12,16,25800.0,yes
ELITEBOOK 745 G6 TOUCH,AMD R7 PRO 3700U - 8 - 256 - VAG 2G AMD,11,14,13800.0,yes
ELITEBOOK 845 G8 TOUCH,AMD R7 PRO 5850U - 16 -512 - VAG 512,22,14,18800.0,yes
ZBOOK FURY 15 G8,I7 11850H - 32 - 512 - RTX A2000 4G,1,15,,yes
ZBOOK ST G7,I7 10850H - 32 - 512 - T1000 4G,1,15,,yes
ZBOOKPOWER G9,I7 12800H - 16 - 512 - RTX A1000 4G,10,15,34500.0,yes
ZBOOK POWER G9,I7 12800H - 16 - 512 - RTX A2000 8G,0,15,37800.0,yes
ZBOOK FURY 17 G8 TOUCH 4K,I7 11850H - 16 -512 - T1200 4G,0,17,27800.0,yes
ZBOOK ST G9,I7 12800H -16 - 512 - RTX A1000 4G,2,15,37500.0,yes
MAC BOOK,I9 9TH - 64 - 512 - AMD 8G,0,15,,yes
ZBOOK POWER G10,I7-13800H /16/512\ NVIDIA RTX A500 4GB,1,15,42500.0,yes
ZBOOK POWER G10 TOUCH,I7-13800H /16/512\ NVIDIA RTX A1000 6GB,3,15,49500.0,yes
zbook fury 15 g8 touch,i7-11850H 16-512-NVIDIA T1200 4G,1,15,,yes
zbook fury 15 g8 touch,I7-11850H 16\512\ NVIDIA RTX A2000 4G,1,15,,yes
ZBOOK POWER G10,I7-13 16\512\ VGA A1000,1,15,,yes
ZBOOK POWER G10,I9 13900 - 16 - 512 - RTX A1000 6G,1,15,,yes
ZBOOK POWER G11,ULTRA 7 - 16 -512 - RTX A500,1,15,55000.0,yes
XPS 17 9710,I9-11980HK 16\512\ NVIDIA GEFORCE RTX 3060 6GB,2,15,37500.0,yes
ELITEBOOK 845 G9,AMD RYZEN 5 PRO 6650U 16\256\ AMD RADEON GRAPHICS,2,14,19800.0,yes
ELITEBOOK 845 G9,AMD RYZEN 7 PRO 6850U 16\512\ AMD RADEON GRAPHICS,2,14,21000.0,yes
ELITEBOOK 845 G8,AMD RYZEN 5 PRO 5650U 8\256\ AMD RADEON GRAPHICS,2,14,11800.0,yes
MICROSOFT CORPORATION,I5-1035G7 8\512\ INTEL R LRIS R PLUS GRAPHICS,1,14,15000.0,yes
PRECISION 5530,I7-8850H 16\512\ NVIDIA QUADRO P1000 4GB,2,15,18800.0,yes
PRECISION 5530 TOUCH,I7-8850H 16\512\ NVIDIA QUADRO P1000 4GB,1,15,19800.0,yes
PRECISION 5570 TOUCH,I7-12800H 16\512\ NVIDIA RTX A1000 4GB,1,15,36500.0,yes
DELL 3571,I5 12500H - 16 - 256 - T600 4G,30,15,22800.0,yes
DELL 3571 TOUCH,I5 12500H - 16 - 256 - T600 4G,0,15,23800.0,yes
DELL 7560,I7 11850 - 16- 512 - INTEL,12,15,23800.0,yes
DELL 7560,I7 11850 - 16- 512 - T1200 4G,0,15,26800.0,yes
DELL 7560,I7 11850 - 16- 512 - A4000 8G,0,15,,yes
ZBOOK FIREFLY 15 G8,I7-1185G7 16\512\ INTEL R IRIS XE GRAPHICS,0,15,,yes
ELITEBOOK 840 G5,I5-8250U 8\256\ INTEL UHD GRAPHICS,1,14,,yes
450 G10,I7 13TH 8\256\ INTEL,1,15,19800.0,yes
FORTIS G10 X360,I5-1230U 8\256\ INTEL IRIS XE GRAPHICS,10,12,10800.0,yes
LENOVO 11E,CELERON N3150 4\256\ INTEL HD GRAPHICS,0,12,,yes
MSI,I7-6820HK 32\512\ NVIDIA,1,17,,yes
FUJITSU U 7410,I5 10TH \8\256\INTEL,1,14,,yes
PRECISION 7510,I7-6820 HQ 16\256\ AMD VGA 2G,1,15,,yes
